epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7981,1.3655,1.75163,0.98629,0.97415,0.72527,0.97412,0.61003,1.17573,1.99649,0.89551,0.000660066,0.000660066,0.000660066
2,58.9358,1.21604,0.92193,0.92744,0.94782,0.95669,0.97631,0.59376,1.24951,0.82266,0.9328,0.00132659,0.00132659,0.00132659
3,87.961,1.20093,0.78318,0.93501,0.92687,0.90276,0.9511,0.62515,1.15002,0.8431,0.92483,0.00199253,0.00199253,0.00199253
4,116.911,1.1885,0.72846,0.93279,0.94973,0.98268,0.98236,0.59029,1.29257,0.74089,0.94207,0.00199805,0.00199805,0.00199805
5,145.881,1.19292,0.68363,0.93083,0.94686,0.95476,0.97554,0.64187,1.11867,0.65823,0.91203,0.00199653,0.00199653,0.00199653
6,174.868,1.17002,0.67344,0.93589,0.96783,0.98075,0.98589,0.62961,1.28925,0.61354,0.94798,0.00199458,0.00199458,0.00199458
7,203.909,1.14478,0.643,0.92592,0.95847,0.98556,0.97703,0.66569,1.09376,0.60983,0.90191,0.00199219,0.00199219,0.00199219
8,232.953,1.13753,0.61817,0.92356,0.96882,0.98688,0.9839,0.66164,1.11667,0.5503,0.90054,0.00198938,0.00198938,0.00198938
9,261.906,1.10211,0.60806,0.91397,0.95481,0.97594,0.98033,0.63988,1.22235,0.57424,0.93178,0.00198614,0.00198614,0.00198614
10,290.853,1.1115,0.60568,0.91656,0.96974,0.99038,0.98082,0.64787,1.22469,0.55591,0.92819,0.00198246,0.00198246,0.00198246
11,319.812,1.10201,0.59304,0.9146,0.96344,0.98912,0.98191,0.65186,1.15393,0.58344,0.91615,0.00197837,0.00197837,0.00197837
12,348.799,1.06885,0.57862,0.9055,0.9655,0.98845,0.98204,0.69814,1.0149,0.50582,0.88368,0.00197384,0.00197384,0.00197384
13,377.762,1.07256,0.57101,0.90538,0.97161,0.99134,0.98067,0.66663,1.16796,0.53313,0.92357,0.0019689,0.0019689,0.0019689
14,406.725,1.07631,0.57655,0.90628,0.96526,0.98933,0.98043,0.63571,1.23493,0.63522,0.92181,0.00196353,0.00196353,0.00196353
15,435.668,1.07374,0.5599,0.90613,0.97186,0.99134,0.98238,0.69037,1.054,0.50279,0.89561,0.00195775,0.00195775,0.00195775
16,464.62,1.06336,0.54588,0.90449,0.97066,0.98704,0.9825,0.66236,1.17554,0.5096,0.91888,0.00195155,0.00195155,0.00195155
17,493.592,1.06681,0.55041,0.903,0.97306,0.99038,0.98284,0.62194,1.21358,0.52733,0.92525,0.00194493,0.00194493,0.00194493
18,522.55,1.05936,0.55201,0.90049,0.96578,0.99038,0.98024,0.67563,1.06169,0.51467,0.88719,0.00193791,0.00193791,0.00193791
19,551.497,1.05253,0.54065,0.89589,0.97011,0.98556,0.98111,0.69466,1.08716,0.50321,0.89565,0.00193048,0.00193048,0.00193048
20,580.49,1.04271,0.53393,0.89791,0.97228,0.9923,0.98283,0.6954,0.98974,0.52388,0.87602,0.00192264,0.00192264,0.00192264
21,609.446,1.03971,0.53307,0.89977,0.97005,0.99615,0.9761,0.67583,1.05122,0.49453,0.88236,0.00191441,0.00191441,0.00191441
22,638.458,1.04069,0.53699,0.89995,0.96886,0.9923,0.9851,0.62073,1.28174,0.58121,0.95361,0.00190578,0.00190578,0.00190578
23,667.406,1.04989,0.54697,0.90112,0.97342,0.99326,0.98305,0.64062,1.22215,0.52345,0.92579,0.00189675,0.00189675,0.00189675
24,696.367,1.03002,0.53064,0.89759,0.96978,0.98836,0.97977,0.71949,0.94847,0.45246,0.87328,0.00188734,0.00188734,0.00188734
25,725.321,1.03697,0.52313,0.89802,0.97116,0.99423,0.9821,0.67515,1.08479,0.49752,0.89307,0.00187754,0.00187754,0.00187754
26,754.275,1.02012,0.51728,0.88999,0.97176,0.99711,0.98591,0.6954,1.09251,0.47647,0.90917,0.00186737,0.00186737,0.00186737
27,783.228,1.02941,0.51554,0.89857,0.97159,0.98757,0.98353,0.69348,1.03526,0.4717,0.88127,0.00185681,0.00185681,0.00185681
28,812.168,1.02947,0.52008,0.89688,0.97086,0.99398,0.98575,0.71096,1.01463,0.45578,0.88196,0.00184588,0.00184588,0.00184588
29,841.131,1.01661,0.51544,0.8925,0.96807,0.99326,0.98354,0.67677,1.0837,0.48127,0.90212,0.00183459,0.00183459,0.00183459
30,870.102,1.00536,0.49708,0.89157,0.97357,0.99326,0.98605,0.66971,1.13527,0.50603,0.90949,0.00182294,0.00182294,0.00182294
31,899.063,1.02038,0.51594,0.89172,0.97185,0.99688,0.985,0.68399,1.10115,0.46824,0.89883,0.00181093,0.00181093,0.00181093
32,928.038,1.0117,0.50361,0.8927,0.97161,0.9923,0.9838,0.62366,1.3163,0.52324,0.95745,0.00179856,0.00179856,0.00179856
