epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4104,1.39395,1.8915,0.97865,0.99503,0.28344,0.90733,0.59147,1.18163,2.45136,0.89011,0.000659091,0.000659091,0.000659091
2,53.9916,1.28911,1.03965,0.9431,0.93187,0.90922,0.9615,0.60581,1.13102,1.30056,0.89829,0.00132553,0.00132553,0.00132553
3,80.5943,1.27988,0.88744,0.94777,0.93921,0.9512,0.97369,0.64329,1.09755,0.80724,0.89303,0.00199107,0.00199107,0.00199107
4,107.138,1.25059,0.82286,0.94387,0.92523,0.95262,0.9549,0.61684,1.10761,0.73315,0.8889,0.00199695,0.00199695,0.00199695
5,133.61,1.2241,0.75639,0.93708,0.93944,0.93918,0.97349,0.6472,1.13614,0.68375,0.91139,0.00199458,0.00199458,0.00199458
6,160.054,1.21037,0.72815,0.93363,0.9682,0.96885,0.97928,0.67874,0.99214,0.59686,0.87413,0.00199153,0.00199153,0.00199153
7,186.516,1.2002,0.72729,0.92986,0.96841,0.97242,0.98357,0.68631,1.09691,0.55182,0.89314,0.00198781,0.00198781,0.00198781
8,212.966,1.2012,0.69692,0.93108,0.96071,0.98563,0.97956,0.64011,1.2032,0.57942,0.92498,0.00198342,0.00198342,0.00198342
9,239.405,1.17886,0.66086,0.92174,0.97204,0.98354,0.9792,0.61566,1.22367,0.61851,0.91485,0.00197837,0.00197837,0.00197837
10,265.86,1.16227,0.65769,0.91354,0.96128,0.98303,0.98069,0.62654,1.1591,0.62198,0.90391,0.00197265,0.00197265,0.00197265
11,292.268,1.18118,0.66449,0.92581,0.97259,0.97878,0.98488,0.67567,1.08667,0.53042,0.89466,0.00196627,0.00196627,0.00196627
12,318.72,1.17688,0.65656,0.92264,0.96369,0.98939,0.98198,0.67324,1.10445,0.5461,0.89748,0.00195923,0.00195923,0.00195923
13,345.144,1.14332,0.63748,0.91191,0.96944,0.98727,0.98205,0.6799,1.09983,0.52562,0.89201,0.00195155,0.00195155,0.00195155
14,371.54,1.1452,0.62276,0.91372,0.96508,0.98727,0.98038,0.66045,1.11975,0.58462,0.89492,0.00194322,0.00194322,0.00194322
15,397.952,1.13132,0.6164,0.91562,0.97199,0.9816,0.97882,0.64162,1.14571,0.5412,0.89191,0.00193424,0.00193424,0.00193424
16,424.384,1.1358,0.61286,0.91098,0.96123,0.99081,0.98141,0.61695,1.18737,0.64331,0.9062,0.00192464,0.00192464,0.00192464
17,450.771,1.12079,0.61138,0.90964,0.97042,0.98303,0.98433,0.71958,0.9828,0.54346,0.87421,0.00191441,0.00191441,0.00191441
18,477.163,1.11076,0.60146,0.9111,0.97181,0.99222,0.97834,0.66187,1.05474,0.51041,0.88063,0.00190356,0.00190356,0.00190356
19,503.591,1.11021,0.59995,0.90562,0.96406,0.98649,0.98505,0.68343,1.07612,0.49192,0.88428,0.0018921,0.0018921,0.0018921
20,529.995,1.11457,0.59455,0.90039,0.96682,0.98901,0.98359,0.67743,1.07161,0.51763,0.88399,0.00188003,0.00188003,0.00188003
21,556.434,1.09756,0.5774,0.89895,0.96563,0.99334,0.98269,0.69499,1.00618,0.5373,0.87146,0.00186737,0.00186737,0.00186737
22,582.873,1.10007,0.57517,0.90137,0.96944,0.9901,0.98329,0.67307,1.10324,0.51177,0.89319,0.00185411,0.00185411,0.00185411
23,609.276,1.08763,0.57792,0.90355,0.96835,0.99434,0.98468,0.68758,1.02527,0.50593,0.87942,0.00184028,0.00184028,0.00184028
24,635.644,1.08047,0.57606,0.90652,0.97215,0.9875,0.98295,0.71233,0.97063,0.47508,0.86642,0.00182588,0.00182588,0.00182588
25,662.002,1.08546,0.57352,0.90283,0.9714,0.98486,0.98023,0.64975,1.18235,0.52373,0.89937,0.00181093,0.00181093,0.00181093
26,688.343,1.08479,0.57592,0.89965,0.9707,0.98798,0.98344,0.69467,1.06399,0.47795,0.88236,0.00179542,0.00179542,0.00179542
27,714.747,1.08992,0.57127,0.90188,0.96629,0.99326,0.97868,0.68639,1.1072,0.48312,0.89238,0.00177937,0.00177937,0.00177937
28,741.183,1.08335,0.56944,0.90032,0.96961,0.99717,0.9819,0.66651,1.13434,0.53378,0.89632,0.0017628,0.0017628,0.0017628
29,767.566,1.06364,0.55457,0.8985,0.97227,0.99293,0.98206,0.70175,1.03209,0.45778,0.87394,0.00174571,0.00174571,0.00174571
30,793.959,1.06878,0.54945,0.90161,0.97153,0.99505,0.98429,0.65056,1.12963,0.49358,0.88946,0.00172812,0.00172812,0.00172812
31,820.424,1.08488,0.5664,0.89651,0.97276,0.99151,0.98323,0.73056,0.97157,0.45714,0.86392,0.00171004,0.00171004,0.00171004
32,846.895,1.07479,0.54658,0.89508,0.97432,0.99281,0.98332,0.69547,1.02219,0.46391,0.87963,0.00169147,0.00169147,0.00169147
33,873.325,1.06607,0.54288,0.89862,0.9661,0.98751,0.98297,0.71406,0.97577,0.46076,0.86317,0.00167244,0.00167244,0.00167244
34,900.571,1.05461,0.53096,0.89172,0.973,0.99646,0.98159,0.68259,1.03515,0.48228,0.87739,0.00165295,0.00165295,0.00165295
35,927.199,1.06368,0.55269,0.89389,0.97026,0.99151,0.98023,0.66819,1.07951,0.56165,0.88645,0.00163303,0.00163303,0.00163303
36,953.714,1.05499,0.54021,0.89501,0.96831,0.9941,0.98293,0.72807,0.91451,0.44339,0.85423,0.00161267,0.00161267,0.00161267
37,980.258,1.04127,0.53474,0.89681,0.97012,0.99434,0.98185,0.71205,1.00533,0.45931,0.87167,0.00159191,0.00159191,0.00159191
38,1006.7,1.05984,0.53793,0.89402,0.96894,0.99646,0.98401,0.69208,1.02941,0.47231,0.86996,0.00157074,0.00157074,0.00157074
39,1033.12,1.04815,0.53117,0.89159,0.97093,0.99222,0.98399,0.70422,0.98324,0.46646,0.86709,0.00154919,0.00154919,0.00154919
40,1059.55,1.05026,0.53438,0.89297,0.97018,0.99434,0.98187,0.67899,1.0826,0.47095,0.87991,0.00152727,0.00152727,0.00152727
41,1086.04,1.04309,0.52823,0.89296,0.97158,0.99143,0.98195,0.65503,1.14539,0.48983,0.89445,0.001505,0.001505,0.001505
42,1112.5,1.04567,0.53098,0.89175,0.97299,0.99344,0.98511,0.70673,1.03936,0.46165,0.87341,0.00148239,0.00148239,0.00148239
43,1139.02,1.02626,0.50999,0.88651,0.97101,0.99477,0.98291,0.72581,1.01064,0.44844,0.86969,0.00145945,0.00145945,0.00145945
44,1165.43,1.03109,0.51393,0.88546,0.97072,0.99434,0.98337,0.71443,0.9739,0.44101,0.86136,0.00143621,0.00143621,0.00143621
45,1191.9,1.02397,0.52265,0.88792,0.97101,0.99482,0.9843,0.71887,1.0191,0.45227,0.86962,0.00141267,0.00141267,0.00141267
46,1218.37,1.03827,0.51103,0.89059,0.96823,0.99576,0.98185,0.71728,0.98376,0.44168,0.8646,0.00138886,0.00138886,0.00138886
47,1244.86,1.04367,0.52399,0.89457,0.97102,0.99513,0.98573,0.67056,1.13886,0.4658,0.88901,0.00136478,0.00136478,0.00136478
48,1271.32,1.01954,0.50686,0.88618,0.96844,0.99837,0.98351,0.71094,1.00148,0.44397,0.87015,0.00134047,0.00134047,0.00134047
49,1297.77,1.02853,0.51394,0.88349,0.97281,0.99364,0.98526,0.75579,0.91408,0.41847,0.85652,0.00131593,0.00131593,0.00131593
50,1324.25,1.02916,0.51074,0.88328,0.97438,0.99527,0.98116,0.70442,1.0016,0.42925,0.868,0.00129118,0.00129118,0.00129118
51,1350.69,1.02178,0.50019,0.88379,0.97204,0.99576,0.9829,0.72353,0.97654,0.42566,0.86572,0.00126623,0.00126623,0.00126623
52,1377.2,1.00856,0.49312,0.88309,0.97072,0.99646,0.98368,0.72608,0.97332,0.42306,0.86754,0.00124111,0.00124111,0.00124111
53,1403.68,1.03121,0.50115,0.88507,0.96971,0.99617,0.98338,0.73126,0.95971,0.42154,0.86381,0.00121583,0.00121583,0.00121583
54,1430.16,1.00083,0.48799,0.8751,0.97559,0.98942,0.98151,0.73527,0.93499,0.41296,0.86017,0.00119041,0.00119041,0.00119041
55,1456.59,1.02058,0.49652,0.8909,0.97135,0.99293,0.98618,0.68992,1.10277,0.46233,0.88704,0.00116487,0.00116487,0.00116487
56,1483.02,1.01673,0.49688,0.88252,0.97236,0.99526,0.98315,0.70966,1.00252,0.44453,0.86883,0.00113922,0.00113922,0.00113922
