epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.842,1.41858,3.52131,0.00355,0.85413,0.73262,0.89109,0.5828,1.13982,3.5387,0.00266,0.000660066,0.000660066,0.000660066
2,74.799,1.31067,1.69148,0.00314,0.88587,0.90857,0.94721,0.54793,1.4295,1.61855,0.00357,0.00132659,0.00132659,0.00132659
3,111.668,1.29225,1.13283,0.00314,0.92974,0.91338,0.96279,0.53435,1.56635,1.03259,0.00419,0.00199253,0.00199253,0.00199253
4,148.512,1.30771,0.87291,0.00321,0.87779,0.9307,0.95333,0.60961,1.27997,0.71702,0.00307,0.00199805,0.00199805,0.00199805
5,185.339,1.30091,0.76011,0.00312,0.91751,0.9307,0.9691,0.65664,1.18771,0.60233,0.00301,0.00199653,0.00199653,0.00199653
6,222.063,1.2857,0.67472,0.00314,0.91334,0.95476,0.96985,0.6274,1.28679,0.55428,0.00307,0.00199458,0.00199458,0.00199458
7,259.022,1.26838,0.63258,0.00307,0.92869,0.92749,0.96859,0.6244,1.27083,0.55394,0.0031,0.00199219,0.00199219,0.00199219
8,295.947,1.25003,0.59724,0.00303,0.94903,0.96761,0.97766,0.68076,1.14022,0.44298,0.00273,0.00198938,0.00198938,0.00198938
9,332.913,1.23158,0.58149,0.00295,0.9434,0.96054,0.97808,0.69438,1.09443,0.42562,0.00265,0.00198614,0.00198614,0.00198614
10,369.834,1.21884,0.55662,0.00295,0.94911,0.97883,0.97826,0.6041,1.40784,0.4267,0.00357,0.00198246,0.00198246,0.00198246
11,406.804,1.23461,0.56332,0.00302,0.94029,0.9615,0.97172,0.68593,1.10088,0.39205,0.00254,0.00197837,0.00197837,0.00197837
12,443.677,1.21816,0.54359,0.00295,0.95415,0.96129,0.97795,0.59342,1.4723,0.45321,0.00364,0.00197384,0.00197384,0.00197384
13,480.613,1.20093,0.52794,0.00291,0.94328,0.96054,0.97058,0.6627,1.12848,0.38511,0.0027,0.0019689,0.0019689,0.0019689
14,517.655,1.20206,0.53126,0.00291,0.94183,0.95476,0.96932,0.60783,1.3406,0.47339,0.00334,0.00196353,0.00196353,0.00196353
15,554.642,1.20242,0.51064,0.00291,0.94783,0.96728,0.97544,0.67871,1.08903,0.36455,0.00257,0.00195775,0.00195775,0.00195775
16,591.605,1.19713,0.49621,0.00288,0.94673,0.97494,0.97681,0.64018,1.27332,0.39186,0.00316,0.00195155,0.00195155,0.00195155
17,628.419,1.20881,0.51872,0.00292,0.95386,0.97499,0.98086,0.67076,1.18904,0.35939,0.00298,0.00194493,0.00194493,0.00194493
18,665.441,1.17677,0.49418,0.00285,0.95437,0.97883,0.97918,0.67908,1.16011,0.35668,0.0029,0.00193791,0.00193791,0.00193791
19,702.419,1.19461,0.49412,0.00283,0.95259,0.98625,0.97688,0.69167,1.09097,0.32943,0.00254,0.00193048,0.00193048,0.00193048
20,739.251,1.15698,0.47542,0.00278,0.95506,0.9613,0.97844,0.66877,1.11506,0.39419,0.00262,0.00192264,0.00192264,0.00192264
21,776.085,1.18095,0.48074,0.00285,0.96588,0.98083,0.9837,0.74061,0.97623,0.29501,0.00224,0.00191441,0.00191441,0.00191441
