epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,330.418,1.79035,1.92995,1.2766,0.94891,0.92059,0.95759,0.46525,1.64347,1.02814,1.35299,0.00999052,0.00333017,0.00999052,0.00333017,0.00999052,0.00333017,0.00999052,0.00333017
2,641.855,1.6273,1.31979,1.16422,0.93036,0.94053,0.96755,0.486,1.60179,0.94969,1.30856,0.0199884,0.00666278,0.0199884,0.00666278,0.0199884,0.00666278,0.0199884,0.00666278
3,943.814,1.63595,1.28272,1.17752,0.93229,0.89614,0.95229,0.43589,1.71151,0.92323,1.38129,0.0299775,0.0099925,0.0299775,0.0099925,0.0299775,0.0099925,0.0299775,0.0099925
4,1245.53,1.62907,1.25776,1.1851,0.95496,0.92853,0.97632,0.55536,1.43352,0.76037,1.22473,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1547.27,1.5808,1.16987,1.16277,0.97272,0.96889,0.98655,0.59413,1.32429,0.66825,1.16573,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1848.84,1.55053,1.11018,1.15563,0.97829,0.9738,0.99004,0.5539,1.46103,0.6927,1.22433,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2150.58,1.52516,1.05462,1.14713,0.98201,0.98303,0.99321,0.5765,1.43864,0.63258,1.18535,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2452.54,1.51428,1.03125,1.1409,0.98579,0.9869,0.9924,0.60637,1.33118,0.60346,1.15819,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,2754.7,1.49647,1.00033,1.13653,0.97876,0.98567,0.99019,0.57567,1.41863,0.61159,1.19439,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,3056.3,1.49103,0.98346,1.12949,0.98209,0.98747,0.99216,0.59739,1.3603,0.59626,1.17365,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3357.87,1.48456,0.96085,1.13214,0.98572,0.98865,0.99201,0.60161,1.34366,0.59255,1.16037,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,3660.14,1.4764,0.9474,1.12823,0.98367,0.98617,0.99162,0.60173,1.34041,0.58869,1.15912,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,3961.21,1.46503,0.93001,1.12267,0.9916,0.99345,0.99317,0.61503,1.35404,0.55449,1.16795,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,4262.27,1.46247,0.92526,1.12238,0.98761,0.99099,0.99244,0.61628,1.32883,0.55882,1.15926,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,4563.28,1.45145,0.90702,1.11698,0.98979,0.99509,0.99322,0.62883,1.31136,0.54661,1.13991,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,4864.36,1.44924,0.89687,1.1157,0.99036,0.99509,0.99321,0.64291,1.27406,0.52681,1.11464,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,5165.35,1.44359,0.88619,1.11158,0.99022,0.99421,0.99336,0.6482,1.26659,0.51781,1.12168,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,5466.5,1.44177,0.88168,1.10845,0.98831,0.99468,0.99336,0.64336,1.26195,0.53193,1.11488,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,5767.79,1.4321,0.87365,1.10703,0.99143,0.9941,0.99288,0.64334,1.26235,0.50977,1.11495,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,6068.94,1.42932,0.86444,1.10568,0.98902,0.99523,0.99257,0.64523,1.24245,0.50448,1.10447,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,6370.01,1.42715,0.86067,1.10663,0.98987,0.99509,0.99272,0.63243,1.28004,0.51392,1.1264,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,6671.05,1.4282,0.84948,1.10635,0.99103,0.99518,0.99263,0.63564,1.29511,0.50987,1.12884,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,6972.14,1.42185,0.85037,1.10514,0.99206,0.99509,0.99292,0.64109,1.27331,0.50511,1.12455,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,7272.98,1.41979,0.84417,1.10431,0.99084,0.99509,0.99308,0.64302,1.26861,0.49769,1.13224,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,7574.11,1.41621,0.83441,1.09833,0.99104,0.99614,0.99349,0.64434,1.25605,0.49613,1.11809,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,7875.33,1.41433,0.83416,1.10123,0.99125,0.9955,0.99358,0.64644,1.26601,0.49538,1.12147,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,8176.3,1.40332,0.8205,1.09822,0.99144,0.99545,0.99306,0.64992,1.25658,0.49175,1.12077,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,8477.18,1.4056,0.82745,1.09507,0.99185,0.99601,0.99336,0.64701,1.26255,0.49166,1.11972,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,8778.17,1.40311,0.82143,1.09646,0.99247,0.9955,0.99341,0.65029,1.25535,0.489,1.1188,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,9079.4,1.40296,0.82188,1.0967,0.9901,0.99509,0.99324,0.65478,1.25744,0.48508,1.12044,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,9380.56,1.39995,0.81522,1.09447,0.99225,0.99574,0.99355,0.65209,1.2719,0.48507,1.12871,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,9681.66,1.39734,0.81016,1.09124,0.99218,0.9955,0.99335,0.65314,1.26784,0.48619,1.12777,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,9982.46,1.39093,0.80034,1.09304,0.99144,0.99536,0.9934,0.65537,1.25355,0.48422,1.11843,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,10283.7,1.39695,0.79985,1.09438,0.99144,0.99582,0.99332,0.65782,1.24869,0.4821,1.11318,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,10584.9,1.39713,0.80228,1.09191,0.99064,0.99509,0.99314,0.65798,1.25049,0.48062,1.11129,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,10885.8,1.3855,0.7947,1.08799,0.99107,0.99591,0.99307,0.65581,1.25756,0.47895,1.11169,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,11186.7,1.39161,0.79242,1.09081,0.99104,0.99584,0.99282,0.65396,1.25751,0.47748,1.11057,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,11487.6,1.38644,0.79205,1.08703,0.98991,0.9955,0.99285,0.65767,1.25037,0.47482,1.10857,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,11788.7,1.3795,0.78023,1.08702,0.98954,0.99632,0.99302,0.66165,1.24732,0.4738,1.10697,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,12090,1.37877,0.77421,1.08495,0.98985,0.99632,0.99315,0.66105,1.25074,0.47304,1.1089,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,12391,1.37775,0.77373,1.08559,0.98961,0.99632,0.9932,0.66141,1.24803,0.47017,1.10859,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,12692.1,1.37247,0.77529,1.08236,0.98943,0.9961,0.99328,0.66231,1.2472,0.46993,1.10879,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,12993.3,1.37838,0.77689,1.0833,0.98943,0.99657,0.99328,0.66284,1.24805,0.46932,1.10857,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,13294.4,1.37229,0.76986,1.08264,0.98999,0.99632,0.99327,0.66395,1.24689,0.46788,1.10718,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,13595.4,1.37352,0.76849,1.07966,0.99006,0.99632,0.99328,0.66465,1.24672,0.46656,1.10644,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,13896.7,1.37411,0.76692,1.07854,0.98983,0.99633,0.99325,0.66444,1.24639,0.46611,1.10716,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,14197.8,1.3655,0.76002,1.07859,0.98943,0.99634,0.99317,0.66431,1.24657,0.46502,1.10708,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,14498.8,1.36849,0.76273,1.07955,0.99103,0.99523,0.99315,0.66447,1.24571,0.46455,1.1065,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,14799.8,1.36739,0.75525,1.07878,0.99062,0.99465,0.99316,0.66439,1.24503,0.46372,1.10593,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,15100.6,1.36209,0.75845,1.07588,0.98982,0.99494,0.99313,0.66454,1.24448,0.46316,1.1057,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,15401.8,1.36278,0.75752,1.07644,0.98982,0.99547,0.99318,0.66382,1.24431,0.46217,1.1055,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,15702.8,1.36142,0.75236,1.07376,0.98982,0.99522,0.9932,0.66359,1.24442,0.46177,1.10531,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,16003.9,1.35947,0.74881,1.06952,0.98953,0.99509,0.99321,0.66371,1.24398,0.46183,1.10429,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,16304.9,1.35909,0.7454,1.07074,0.98954,0.99509,0.99319,0.66383,1.24449,0.46131,1.10384,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,16606.2,1.35355,0.74034,1.07169,0.98965,0.9955,0.99332,0.6639,1.24398,0.46104,1.10333,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,16907.1,1.35748,0.7398,1.07513,0.98987,0.9955,0.99329,0.66352,1.24357,0.46065,1.10274,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,17208.1,1.35463,0.73622,1.07677,0.99023,0.99574,0.9933,0.66351,1.24282,0.46011,1.10239,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,17509.3,1.3528,0.74218,1.07333,0.98983,0.99626,0.99294,0.66384,1.24139,0.45963,1.10115,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,17810.5,1.35013,0.73255,1.06969,0.98983,0.99609,0.99295,0.6641,1.24096,0.45949,1.10051,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,18111.4,1.35045,0.73222,1.07225,0.98983,0.99599,0.99299,0.66374,1.24143,0.45947,1.10068,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,18412.6,1.3415,0.73108,1.06875,0.99028,0.99509,0.99302,0.66414,1.24193,0.45929,1.10081,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,18713.5,1.34622,0.72647,1.07132,0.99073,0.9955,0.9934,0.66408,1.2427,0.45909,1.10112,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,19014.7,1.34337,0.72329,1.07038,0.99023,0.99572,0.99339,0.66353,1.24402,0.45906,1.10155,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,19315.7,1.34686,0.72405,1.06726,0.99023,0.99578,0.99339,0.66325,1.24475,0.45906,1.10182,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,19616.7,1.34343,0.72248,1.06713,0.99023,0.99545,0.993,0.6634,1.24509,0.45896,1.1018,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,19917.6,1.34307,0.7208,1.06985,0.99063,0.99552,0.99297,0.66415,1.24533,0.45886,1.10209,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,20218.9,1.3407,0.71679,1.06634,0.99063,0.99568,0.99298,0.66401,1.24579,0.4587,1.10232,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,20519.8,1.33663,0.71597,1.06222,0.99063,0.99577,0.99297,0.66486,1.2451,0.45859,1.10186,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,20820.5,1.3315,0.71157,1.06221,0.99104,0.99633,0.99337,0.66545,1.24456,0.45839,1.10158,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,21121.5,1.33348,0.70359,1.06372,0.99105,0.99679,0.99334,0.66572,1.24465,0.45816,1.10123,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,21422.5,1.33254,0.71086,1.06507,0.9906,0.99713,0.99334,0.66591,1.2442,0.45796,1.10092,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,21723.4,1.32841,0.70574,1.0609,0.99024,0.9967,0.99293,0.66648,1.24378,0.4575,1.10047,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,22024.4,1.33355,0.70281,1.06213,0.99004,0.99673,0.99293,0.66712,1.24298,0.4571,1.0999,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,22325.5,1.32847,0.70054,1.05947,0.98981,0.99673,0.99291,0.66694,1.24243,0.45665,1.09933,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,22626.4,1.32276,0.69962,1.0582,0.9898,0.99673,0.99289,0.66698,1.2414,0.45616,1.09858,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,22927.4,1.32415,0.69289,1.05916,0.9898,0.99673,0.99288,0.66739,1.24055,0.45539,1.0981,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,23228.5,1.32376,0.69417,1.05991,0.98982,0.99673,0.99289,0.66726,1.23982,0.4552,1.09783,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,23529.3,1.32069,0.69461,1.05858,0.9898,0.99673,0.99289,0.66755,1.23941,0.45495,1.09749,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,23830.5,1.31404,0.68872,1.05652,0.98983,0.99673,0.9929,0.66762,1.23934,0.45455,1.09743,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,24131.6,1.31277,0.68634,1.05499,0.98984,0.99655,0.99293,0.66791,1.23922,0.45427,1.09739,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,24432.7,1.31277,0.67957,1.05406,0.98983,0.99636,0.99296,0.66816,1.23868,0.45387,1.09697,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,24733.6,1.31728,0.68372,1.05722,0.98983,0.99625,0.99297,0.66804,1.23803,0.45334,1.09638,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,25034.6,1.31398,0.68,1.056,0.98983,0.99599,0.99299,0.66789,1.23715,0.45294,1.09574,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,25335.5,1.31397,0.68021,1.05265,0.99025,0.99591,0.99301,0.66807,1.23596,0.45237,1.09498,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,25636.5,1.3099,0.6756,1.05382,0.99036,0.99591,0.99303,0.66848,1.23561,0.45207,1.09463,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,25937.6,1.30014,0.66795,1.05108,0.99042,0.99591,0.99305,0.66912,1.23486,0.45174,1.09415,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,26238.6,1.31119,0.67084,1.05179,0.99034,0.99591,0.99308,0.66972,1.23419,0.45129,1.09371,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,26539.6,1.30615,0.66748,1.05056,0.99012,0.99591,0.99312,0.66994,1.23398,0.45076,1.09343,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
