epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,130.437,1.53611,1.88208,1.40064,0.95653,0.95452,0.97785,0.45432,1.66801,1.2226,1.6161,0.0099759,0.0033253,0.0099759,0.0033253,0.0099759,0.0033253,0.0099759,0.0033253
2,252.521,1.33006,1.24967,1.24136,0.97218,0.96575,0.98897,0.61036,1.28242,0.8683,1.34532,0.019971,0.00665701,0.019971,0.00665701,0.019971,0.00665701,0.019971,0.00665701
3,371.234,1.35283,1.15926,1.27252,0.89602,0.91484,0.95453,0.43092,1.77049,1.1324,1.75314,0.0299466,0.00998221,0.0299466,0.00998221,0.0299466,0.00998221,0.0299466,0.00998221
4,489.856,1.35821,1.13402,1.30738,0.98276,0.97582,0.99299,0.67178,1.14022,0.67643,1.2665,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,608.508,1.33862,1.06151,1.30257,0.97584,0.99315,0.99359,0.6521,1.26537,0.62479,1.3442,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,727.041,1.31138,1.01382,1.30383,0.98534,0.99772,0.99353,0.59106,1.40257,0.62486,1.42651,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,845.504,1.29454,0.96388,1.29566,0.99534,0.99429,0.99463,0.66423,1.1938,0.52034,1.29379,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,963.963,1.28241,0.91733,1.28583,0.99668,1,0.99463,0.69301,1.12315,0.53792,1.24796,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1082.53,1.26886,0.90406,1.28708,0.99035,0.99772,0.99376,0.67024,1.17233,0.55472,1.27884,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1200.94,1.25862,0.88447,1.27906,0.99545,0.99852,0.99424,0.68017,1.16349,0.51132,1.27625,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1319.44,1.25778,0.86613,1.28335,0.98743,0.99886,0.99442,0.63047,1.29411,0.56061,1.35971,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1438.05,1.24538,0.84044,1.2736,0.98752,0.99315,0.9946,0.66894,1.15298,0.58211,1.26812,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1556.58,1.24056,0.8295,1.27284,0.99658,0.99869,0.99426,0.6756,1.20844,0.47592,1.2904,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1675.03,1.23367,0.8085,1.27763,0.9961,1,0.99466,0.70194,1.11545,0.45632,1.23519,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1793.57,1.23785,0.80046,1.27117,0.99726,0.99772,0.99472,0.72576,1.01999,0.45134,1.18298,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1912.2,1.2172,0.79216,1.26582,0.99509,0.99886,0.9947,0.71231,1.08353,0.44261,1.23254,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,2030.66,1.21932,0.77559,1.26375,0.99566,0.99543,0.9948,0.70509,1.09782,0.46501,1.21847,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,2149.17,1.21167,0.76483,1.25809,0.99859,1,0.99482,0.71998,1.05888,0.42263,1.20468,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,2267.65,1.20847,0.76212,1.26005,0.99453,0.99658,0.99426,0.66374,1.23602,0.49369,1.3132,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,2386.16,1.19991,0.75401,1.25752,0.99872,1,0.99469,0.68964,1.18565,0.4419,1.28118,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,2504.74,1.20072,0.75468,1.25487,0.99664,1,0.99483,0.72502,1.03524,0.43424,1.20959,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,2623.18,1.20032,0.73669,1.25599,0.99658,0.99852,0.99487,0.70434,1.12886,0.43524,1.24402,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,2741.63,1.19059,0.72988,1.24938,0.99861,1,0.99498,0.71469,1.10445,0.42382,1.22973,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,2860.17,1.19831,0.72275,1.24996,0.99772,0.99956,0.99478,0.72254,1.02052,0.42044,1.18819,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,2978.57,1.18676,0.71381,1.24074,0.99886,0.99966,0.99476,0.7345,1.07833,0.42295,1.21933,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,3097.08,1.17679,0.71776,1.23996,0.99677,0.99886,0.99469,0.7118,1.11416,0.42819,1.24186,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,3215.62,1.18087,0.70078,1.24401,0.99628,1,0.99489,0.7241,1.06017,0.41096,1.21828,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,3337.26,1.17746,0.69869,1.2431,0.99687,0.99658,0.99484,0.72362,1.04047,0.41615,1.20279,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,3456.43,1.17243,0.68656,1.23569,0.99871,1,0.99498,0.718,1.05944,0.40601,1.21036,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,3575.42,1.17221,0.69522,1.23777,0.99886,0.9972,0.99476,0.72271,1.05803,0.41091,1.21719,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3694.32,1.16664,0.68822,1.23629,0.99544,0.99574,0.99495,0.72083,1.08565,0.41545,1.22588,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3813.82,1.16625,0.68288,1.2306,0.99863,1,0.99495,0.73387,1.062,0.39977,1.21134,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,3933.35,1.16756,0.67768,1.2379,0.99658,0.99768,0.99498,0.72451,1.1236,0.40637,1.24282,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,4059.36,1.16243,0.67131,1.23937,0.99638,0.99886,0.99486,0.72838,1.0623,0.39683,1.2122,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,4179.65,1.15771,0.66339,1.23137,0.99868,1,0.99492,0.73473,1.06874,0.39292,1.21089,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,4300.54,1.15196,0.66289,1.22402,0.99871,1,0.99484,0.73385,1.07963,0.39099,1.21487,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,4421.12,1.15927,0.66332,1.23286,0.99847,0.99772,0.9949,0.72932,1.05662,0.39734,1.204,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,4541.71,1.15441,0.65439,1.22854,0.99818,0.99886,0.99402,0.72938,1.06454,0.39365,1.21212,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,4662.52,1.14178,0.65826,1.22209,0.99886,0.99949,0.99499,0.73157,1.04106,0.38307,1.20202,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,4783.25,1.14455,0.65645,1.2259,0.99872,1,0.99499,0.7469,1.01826,0.37131,1.18836,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,4904.4,1.14921,0.64868,1.22935,0.99886,0.9998,0.99495,0.73593,1.01767,0.37847,1.1877,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
