epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8397,0.9905,0.47706,0.87856,0.97135,0.99717,0.98623,0.72228,1.01239,0.43375,0.86679,0.000659091,0.000659091,0.000659091
2,53.2499,1.00895,0.5061,0.88288,0.97568,0.99317,0.98634,0.71864,0.99142,0.44857,0.86507,0.00132446,0.00132446,0.00132446
3,79.6386,1.05251,0.52509,0.89308,0.96924,0.99576,0.98224,0.71451,0.96414,0.45882,0.86813,0.00198465,0.00198465,0.00198465
4,105.989,1.03516,0.52987,0.89084,0.97081,0.99364,0.98158,0.6576,1.13317,0.52278,0.89426,0.00198246,0.00198246,0.00198246
5,132.453,1.03605,0.524,0.88977,0.97166,0.99364,0.98402,0.71016,0.99724,0.44927,0.87109,0.0019689,0.0019689,0.0019689
6,158.872,1.03248,0.52656,0.88977,0.96978,0.99222,0.98112,0.65774,1.12987,0.55578,0.88556,0.00195155,0.00195155,0.00195155
7,185.226,1.04589,0.53586,0.89036,0.97434,0.99353,0.98234,0.72893,0.9512,0.44034,0.85976,0.00193048,0.00193048,0.00193048
8,211.614,1.0455,0.54072,0.89158,0.97096,0.99317,0.98511,0.70509,1.01239,0.45911,0.86854,0.00190578,0.00190578,0.00190578
9,237.983,1.05286,0.52112,0.89028,0.97141,0.99505,0.9874,0.71235,0.99309,0.44987,0.86891,0.00187754,0.00187754,0.00187754
10,264.321,1.03428,0.52568,0.88356,0.96903,0.99565,0.98359,0.69476,1.05471,0.47098,0.87517,0.00184588,0.00184588,0.00184588
11,290.655,1.04569,0.52323,0.89279,0.97394,0.9901,0.98409,0.72992,0.97429,0.43578,0.86815,0.00181093,0.00181093,0.00181093
12,317.032,1.03287,0.51727,0.8889,0.96799,0.99434,0.98177,0.72337,0.95984,0.45858,0.8669,0.00177281,0.00177281,0.00177281
13,343.433,1.02016,0.50705,0.88349,0.96584,0.99505,0.98199,0.71831,0.94791,0.46433,0.85983,0.00173168,0.00173168,0.00173168
14,369.863,1.00824,0.49732,0.8839,0.97186,0.99081,0.98519,0.71424,1.01219,0.46094,0.86987,0.0016877,0.0016877,0.0016877
15,396.276,1.01213,0.50345,0.88648,0.967,0.99505,0.98515,0.7415,0.97006,0.4401,0.86015,0.00164105,0.00164105,0.00164105
16,422.672,1.02865,0.50422,0.88619,0.97163,0.99301,0.98281,0.69478,1.04598,0.46262,0.87912,0.00159191,0.00159191,0.00159191
17,449.088,1.01429,0.49488,0.88441,0.97018,0.98936,0.98525,0.7245,0.99625,0.4278,0.86945,0.00154047,0.00154047,0.00154047
18,475.502,1.01,0.50011,0.88556,0.9671,0.9979,0.98594,0.74023,0.95052,0.42891,0.85996,0.00148694,0.00148694,0.00148694
19,501.895,1.00608,0.49271,0.88159,0.97069,0.99222,0.98266,0.71635,0.99676,0.43862,0.8672,0.00143152,0.00143152,0.00143152
20,528.285,1.00234,0.49528,0.87733,0.97063,0.99151,0.98311,0.72706,0.9815,0.43758,0.86956,0.00137444,0.00137444,0.00137444
21,554.956,0.93108,0.4141,0.86926,0.9677,0.99596,0.98428,0.72526,0.98321,0.4344,0.8665,0.00131593,0.00131593,0.00131593
22,581.261,0.92086,0.40314,0.86966,0.97163,0.9931,0.9839,0.72931,0.95698,0.42443,0.86347,0.0012562,0.0012562,0.0012562
23,607.518,0.93109,0.40917,0.86657,0.96996,0.99576,0.98674,0.72573,1.02281,0.4471,0.87716,0.00119551,0.00119551,0.00119551
24,633.894,0.91369,0.39865,0.86407,0.97171,0.99505,0.98519,0.71809,1.0372,0.44453,0.88074,0.00113408,0.00113408,0.00113408
25,660.162,0.90647,0.39394,0.86254,0.97364,0.99505,0.98559,0.73114,0.95176,0.41839,0.86186,0.00107216,0.00107216,0.00107216
26,686.412,0.89299,0.39119,0.86462,0.97504,0.99446,0.98637,0.7412,0.95644,0.41295,0.86124,0.00101,0.00101,0.00101
27,712.686,0.89447,0.38765,0.85925,0.97106,0.9966,0.98692,0.74835,0.94101,0.41276,0.85602,0.000947837,0.000947837,0.000947837
28,738.984,0.89426,0.38343,0.85908,0.96862,0.99859,0.98376,0.72936,0.96812,0.40926,0.86222,0.00088592,0.00088592,0.00088592
29,765.274,0.88797,0.37962,0.86142,0.96895,0.99859,0.98378,0.73536,0.96719,0.40636,0.86465,0.000824492,0.000824492,0.000824492
30,791.553,0.89093,0.37732,0.86038,0.96844,0.99859,0.98652,0.74275,0.96418,0.40103,0.85964,0.000763797,0.000763797,0.000763797
31,817.805,0.88481,0.37821,0.86168,0.97235,0.99467,0.98699,0.75621,0.91484,0.3907,0.85466,0.000704073,0.000704073,0.000704073
32,844.15,0.87172,0.36948,0.85757,0.96974,0.99708,0.98573,0.76418,0.88097,0.37804,0.85034,0.000645557,0.000645557,0.000645557
33,870.702,0.87151,0.36735,0.85297,0.97024,0.99717,0.98489,0.76312,0.88865,0.3793,0.85004,0.000588479,0.000588479,0.000588479
34,897.104,0.86972,0.36145,0.85502,0.97035,0.9952,0.98765,0.76597,0.89292,0.38217,0.85106,0.000533064,0.000533064,0.000533064
35,923.441,0.86133,0.36486,0.85475,0.97083,0.99646,0.98518,0.75635,0.92107,0.38337,0.85241,0.000479531,0.000479531,0.000479531
36,949.747,0.86971,0.35958,0.85972,0.9731,0.99505,0.98444,0.74448,0.94677,0.3922,0.85714,0.000428093,0.000428093,0.000428093
37,976.067,0.85981,0.35584,0.85438,0.96898,0.99859,0.9852,0.75564,0.90875,0.37504,0.85254,0.00037895,0.00037895,0.00037895
38,1002.43,0.84301,0.3481,0.84727,0.96948,0.99788,0.98618,0.76486,0.90141,0.37429,0.85196,0.000332298,0.000332298,0.000332298
39,1028.76,0.84443,0.3499,0.84897,0.96995,0.99788,0.98607,0.75883,0.91612,0.3768,0.85439,0.000288321,0.000288321,0.000288321
40,1055.15,0.83148,0.34533,0.84826,0.96713,0.99872,0.98639,0.76027,0.90347,0.3734,0.85394,0.000247192,0.000247192,0.000247192
41,1081.55,0.83283,0.34281,0.84554,0.96714,0.99902,0.98719,0.75157,0.9377,0.38289,0.85712,0.000209073,0.000209073,0.000209073
