epoch,accuracy,loss,val_accuracy,val_loss,lr
1,0.0625,4.7625,0.2006,3.5206,0.0005
2,0.1773,3.6485,0.4298,2.6861,0.0005
3,0.3595,2.9422,0.6021,2.2808,0.0005
4,0.5283,2.5041,0.7188,2.0285,0.0005
5,0.6119,2.2862,0.7792,1.8953,0.0005
6,0.6632,2.1578,0.7957,1.8340,0.0005
7,0.6909,2.0847,0.8218,1.7793,0.0005
8,0.7091,2.0436,0.8251,1.7791,0.0005
9,0.7152,2.0317,0.8374,1.7327,0.0005
10,0.7195,2.0091,0.8385,1.7315,0.0005
11,0.7302,1.9836,0.8428,1.7262,0.0005
12,0.7388,1.9631,0.8528,1.6900,0.0005
13,0.7453,1.9551,0.8562,1.6869,0.0005
14,0.7558,1.9183,0.8550,1.6615,0.0005
15,0.7627,1.8950,0.8491,1.6712,0.0005
16,0.7619,1.8968,0.8419,1.6784,0.0005
17,0.7693,1.8718,0.8708,1.6108,0.0005
18,0.7759,1.8446,0.8607,1.6286,0.0005
19,0.7822,1.8283,0.8756,1.5864,0.0005
20,0.7841,1.8191,0.8763,1.5723,0.0005
21,0.7914,1.8075,0.8695,1.5856,0.0005
22,0.7975,1.7746,0.8864,1.5382,0.0005
23,0.7954,1.7745,0.8717,1.5784,0.0005
24,0.8038,1.7523,0.8860,1.5250,0.0005
25,0.8064,1.7342,0.8842,1.5248,0.0005
26,0.8119,1.7238,0.8919,1.5091,0.0005
27,0.8138,1.7142,0.8908,1.5029,0.0005
28,0.8185,1.6950,0.8899,1.4997,0.0005
29,0.8194,1.6911,0.9027,1.4804,0.0005
30,0.8249,1.6651,0.9052,1.4501,0.0005
31,0.8281,1.6561,0.8944,1.4796,0.0005
32,0.8299,1.6484,0.9104,1.4258,0.0005
33,0.8284,1.6509,0.9021,1.4441,0.0005
34,0.8320,1.6373,0.9084,1.4118,0.0005
35,0.8378,1.6256,0.8991,1.4459,0.0005
36,0.8407,1.6108,0.9150,1.3925,0.0005
37,0.8425,1.5977,0.9018,1.4228,0.0005
38,0.8421,1.5920,0.9190,1.3800,0.0005
39,0.8444,1.5852,0.9149,1.3918,0.0005
40,0.8470,1.5851,0.9181,1.3853,0.0005
41,0.8465,1.5874,0.9201,1.3763,0.0005
42,0.8465,1.5728,0.9091,1.3798,0.0005
43,0.8504,1.5642,0.9210,1.3661,0.0005
44,0.8531,1.5578,0.9118,1.3697,0.0005
45,0.8545,1.5467,0.9089,1.3802,0.0005
46,0.8500,1.5616,0.9152,1.3707,0.0005
47,0.8570,1.5468,0.9197,1.3523,0.0005
48,0.8534,1.5480,0.9170,1.3599,0.0005
49,0.8596,1.5315,0.9294,1.3285,0.0005
50,0.8566,1.5449,0.9192,1.3552,0.0005
51,0.8629,1.5192,0.9097,1.3761,0.0005
52,0.8630,1.5141,0.9170,1.3425,0.0005
53,0.8634,1.5132,0.9181,1.3434,0.0005
54,0.8582,1.5285,0.9211,1.3503,0.0005
55,0.8666,1.5055,0.9258,1.3315,0.0005
56,0.8614,1.5147,0.9272,1.3353,0.0005
57,0.8832,1.4248,0.9367,1.2244,0.00025
58,0.8914,1.3634,0.9423,1.1906,0.00025
59,0.8903,1.3449,0.9396,1.1773,0.00025
60,0.8936,1.3221,0.9362,1.1749,0.00025
61,0.8919,1.3234,0.9437,1.1567,0.00025
62,0.8942,1.3149,0.9410,1.1645,0.00025
63,0.8977,1.3042,0.9435,1.1516,0.00025
64,0.8979,1.2992,0.9369,1.1596,0.00025
65,0.8953,1.3093,0.9496,1.1348,0.00025
66,0.8958,1.3015,0.9407,1.1512,0.00025
67,0.8949,1.2987,0.9369,1.1589,0.00025
68,0.8954,1.2933,0.9387,1.1481,0.00025
69,0.8970,1.2895,0.9493,1.1392,0.00025
70,0.8998,1.2886,0.9475,1.1394,0.00025
71,0.8973,1.2947,0.9441,1.1463,0.00025
72,0.8982,1.2875,0.9401,1.1440,0.00025
73,0.9079,1.2564,0.9512,1.1023,0.000125
74,0.9089,1.2338,0.9523,1.0830,0.000125
75,0.9115,1.2162,0.9509,1.0754,0.000125
76,0.9128,1.2040,0.9561,1.0552,0.000125
77,0.9109,1.2036,0.9559,1.0570,0.000125
78,0.9150,1.1889,0.9532,1.0538,0.000125
79,0.9147,1.1841,0.9525,1.0542,0.000125
80,0.9155,1.1868,0.9511,1.0518,0.000125
81,0.9168,1.1790,0.9550,1.0517,0.000125
82,0.9157,1.1804,0.9538,1.0450,0.000125
83,0.9147,1.1785,0.9532,1.0432,0.000125
84,0.9165,1.1703,0.9521,1.0436,0.000125
85,0.9162,1.1726,0.9539,1.0405,0.000125
86,0.9157,1.1710,0.9581,1.0291,0.000125
87,0.9151,1.1739,0.9466,1.0496,0.000125
88,0.9158,1.1696,0.9563,1.0287,0.000125
89,0.9166,1.1686,0.9507,1.0458,0.000125
90,0.9142,1.1751,0.9566,1.0225,0.000125
91,0.9167,1.1697,0.9554,1.0295,0.000125
92,0.9136,1.1694,0.9559,1.0333,0.000125
93,0.9154,1.1673,0.9530,1.0331,0.000125
94,0.9145,1.1682,0.9500,1.0395,0.000125
95,0.9155,1.1667,0.9572,1.0211,0.000125
96,0.9194,1.1608,0.9557,1.0284,0.000125
97,0.9168,1.1640,0.9503,1.0403,0.000125
98,0.9174,1.1655,0.9582,1.0253,0.000125
99,0.9190,1.1603,0.9539,1.0289,0.000125
100,0.9187,1.1574,0.9559,1.0260,0.000125
101,0.9182,1.1631,0.9577,1.0295,0.000125
102,0.9157,1.1629,0.9573,1.0195,0.000125
103,0.9171,1.1578,0.9543,1.0217,0.000125
104,0.9156,1.1622,0.9552,1.0212,0.000125
105,0.9204,1.1518,0.9552,1.0180,0.000125
106,0.9116,1.1675,0.9552,1.0242,0.000125
107,0.9173,1.1598,0.9563,1.0227,0.000125
108,0.9198,1.1552,0.9530,1.0290,0.000125
109,0.9173,1.1571,0.9564,1.0222,0.000125
110,0.9174,1.1590,0.9593,1.0171,0.000125
111,0.9173,1.1614,0.9575,1.0217,0.000125
112,0.9199,1.1544,0.9550,1.0216,0.000125
113,0.9221,1.1530,0.9564,1.0173,0.000125
114,0.9155,1.1607,0.9516,1.0253,0.000125
115,0.9184,1.1587,0.9559,1.0226,0.000125
116,0.9163,1.1620,0.9563,1.0318,0.000125
117,0.9183,1.1562,0.9584,1.0170,0.000125
118,0.9167,1.1612,0.9564,1.0256,0.000125
119,0.9195,1.1565,0.9539,1.0237,0.000125
120,0.9198,1.1518,0.9548,1.0169,0.000125
121,0.9169,1.1511,0.9595,1.0141,0.000125
122,0.9178,1.1546,0.9547,1.0270,0.000125
123,0.9181,1.1550,0.9564,1.0188,0.000125
124,0.9165,1.1555,0.9516,1.0284,0.000125
125,0.9197,1.1532,0.9581,1.0098,0.000125
126,0.9211,1.1460,0.9625,1.0074,0.000125
127,0.9202,1.1499,0.9584,1.0129,0.000125
128,0.9174,1.1562,0.9568,1.0203,0.000125
129,0.9205,1.1526,0.9557,1.0187,0.000125
130,0.9198,1.1467,0.9554,1.0199,0.000125
131,0.9194,1.1521,0.9539,1.0179,0.000125
132,0.9211,1.1469,0.9573,1.0196,0.000125
