epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,372.047,1.26694,1.17105,1.12262,0.8989,0.9475,0.95914,0.66978,1.01653,0.75014,0.94704,0.00999142,0.00333047,0.00999142,0.00333047,0.00999142,0.00333047,0.00999142,0.00333047
2,720.636,1.14169,0.72473,1.06199,0.89584,0.94614,0.94622,0.68074,0.94309,0.72995,0.96115,0.0199893,0.00666308,0.0199893,0.00666308,0.0199893,0.00666308,0.0199893,0.00666308
3,1058.78,1.10494,0.67332,1.06187,0.88485,0.93202,0.95108,0.66685,1.00171,0.72987,0.9955,0.0299784,0.0099928,0.0299784,0.0099928,0.0299784,0.0099928,0.0299784,0.0099928
4,1396.26,1.0697,0.64553,1.05973,0.9132,0.95704,0.96235,0.71957,0.90094,0.56105,0.9579,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1733.6,1.0067,0.59531,1.03977,0.92463,0.96054,0.97153,0.7566,0.81436,0.50565,0.92365,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,2070.61,0.96989,0.57235,1.02305,0.92093,0.95415,0.97151,0.76403,0.81441,0.49495,0.93124,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2407.35,0.94642,0.55202,1.01537,0.93058,0.95865,0.97526,0.77275,0.79251,0.45667,0.91475,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2744.23,0.91906,0.53667,1.00428,0.92459,0.95723,0.96968,0.78006,0.75553,0.45703,0.90355,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,3081.38,0.90937,0.52354,0.99725,0.94008,0.95498,0.98007,0.79754,0.74358,0.41764,0.89704,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,3418.44,0.88959,0.51018,0.99059,0.93495,0.95945,0.97817,0.7929,0.74446,0.42535,0.8993,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3755.4,0.88253,0.50277,0.98749,0.93674,0.96379,0.97813,0.80336,0.72574,0.40921,0.8879,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,4092.5,0.87459,0.50092,0.98623,0.94239,0.95884,0.97862,0.79986,0.73673,0.40935,0.89746,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,4429.23,0.86815,0.49411,0.98257,0.9408,0.96719,0.97976,0.81079,0.70681,0.39115,0.88369,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,4766.47,0.85772,0.48723,0.97858,0.94201,0.96787,0.98136,0.82349,0.6789,0.38021,0.88052,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,5103.45,0.85177,0.48114,0.97607,0.94135,0.96258,0.97961,0.82504,0.66661,0.38008,0.87879,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,5440.33,0.84659,0.47679,0.9739,0.94799,0.96099,0.98096,0.82592,0.67655,0.37313,0.87577,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,5777.43,0.83839,0.47444,0.97021,0.94337,0.96511,0.98179,0.82871,0.66833,0.36711,0.87486,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
